Price,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Date,,,,,
2018-09-28,7655.25,7677.0,7617.0,7663.5,381496
2018-10-01,7675.5,7728.75,7652.0,7672.0,358159
2018-10-02,7652.75,7712.75,7630.25,7675.0,392577
2018-10-03,7664.75,7703.75,7641.5,7656.25,394538
2018-10-04,7514.25,7651.0,7456.5,7651.0,704908
2018-10-05,7436.0,7540.0,7347.0,7521.0,735015
2018-10-08,7391.75,7453.25,7286.5,7443.25,615687
2018-10-09,7399.0,7455.75,7337.0,7391.0,583403
2018-10-10,7032.0,7412.0,7000.0,7394.75,924204
2018-10-11,7031.0,7138.0,6907.75,7010.25,1146270
2018-10-12,7172.25,7197.75,7034.25,7040.75,772623
2018-10-15,7076.5,7179.0,7060.75,7176.75,641765
2018-10-16,7353.75,7357.5,7063.5,7068.25,614355
2018-10-17,7313.25,7368.5,7221.5,7339.75,663303
2018-10-18,7137.75,7309.5,7094.5,7307.75,705908
2018-10-19,7106.5,7244.25,7092.75,7154.0,661050
2018-10-22,7155.25,7210.5,7057.0,7085.75,650331
2018-10-23,7140.25,7164.0,6944.0,7155.0,825811
2018-10-24,6836.25,7175.0,6785.75,7136.25,895420
2018-10-25,6926.5,7075.75,6816.75,6878.5,793502
2018-10-26,6893.25,6986.5,6734.25,6882.0,1069548
2018-10-29,6736.25,6991.5,6580.5,6898.0,905327
2018-10-30,6815.25,6849.25,6661.0,6719.25,832546
2018-10-31,6975.5,7039.25,6816.75,6857.0,755201
2018-11-01,7077.75,7079.75,6936.75,6960.0,589071
2018-11-02,6980.25,7143.25,6911.25,6987.25,793339
2018-11-05,6949.5,6998.5,6865.0,6972.75,506045
2018-11-06,7016.5,7034.75,6906.75,6947.25,514296
2018-11-07,7218.5,7225.0,6971.5,7011.5,621601
2018-11-08,7166.0,7231.0,7132.0,7212.75,477828
2018-11-09,7031.25,7166.25,6989.0,7145.75,596695
2018-11-12,6835.0,7103.75,6825.75,7026.25,702949
2018-11-13,6853.0,6962.0,6801.25,6847.0,711516
2018-11-14,6768.25,6929.5,6746.0,6861.75,731312
2018-11-15,6915.5,6920.5,6712.25,6780.0,793461
2018-11-16,6895.25,6915.0,6806.25,6874.5,691502
2018-11-19,6672.0,6934.5,6632.25,6875.0,743936
2018-11-20,6532.5,6670.0,6449.5,6668.5,910469
2018-11-21,6576.25,6647.75,6509.0,6527.75,569302
2018-11-23,6531.0,6601.5,6495.0,6525.0,362540
2018-11-26,6673.25,6696.5,6530.5,6537.5,503369
2018-11-27,6712.5,6723.0,6613.25,6639.5,577173
2018-11-28,6918.25,6923.5,6709.25,6722.25,639404
2018-11-29,6913.25,6943.75,6843.0,6907.0,530605
2018-11-30,6949.5,6967.25,6871.5,6902.25,485575
2018-12-03,7058.25,7139.0,7015.25,7041.0,575964
2018-12-04,6803.25,7055.25,6783.0,7055.25,811925
2018-12-06,6824.5,6854.25,6630.25,6834.5,986103
2018-12-07,6623.5,6856.5,6594.75,6835.5,854199
2018-12-10,6699.25,6714.5,6535.25,6596.25,778327
2018-12-11,6717.0,6808.75,6651.25,6695.0,734366
2018-12-12,6769.0,6872.0,6683.5,6686.5,663375
2018-12-13,6752.0,6838.5,6723.0,6769.0,626806
2018-12-14,6599.5,6760.75,6583.25,6752.0,351779
2018-12-17,6466.25,6635.25,6401.25,6580.0,323403
2018-12-18,6462.75,6555.75,6435.75,6471.25,229055
2018-12-19,6334.75,6594.0,6282.25,6441.75,174403
2018-12-20,6308.5,6385.25,6161.75,6331.75,95448
2018-12-21,6257.25,6317.75,6242.0,6307.5,862689
2018-12-24,5892.0,6123.0,5888.75,6049.75,449594
2018-12-26,6285.5,6310.0,5820.5,5902.0,642440
2018-12-27,6323.5,6333.0,6053.25,6283.0,740129
2018-12-28,6293.25,6402.5,6243.75,6309.0,644735
2018-12-31,6333.25,6376.75,6283.0,6312.25,386061
2019-01-02,6371.0,6409.25,6154.0,6349.5,659316
2019-01-03,6162.0,6304.25,6148.5,6242.75,714536
2019-01-04,6434.0,6462.0,6136.5,6168.75,696539
2019-01-07,6496.5,6535.75,6402.5,6451.25,516597
2019-01-08,6557.25,6586.25,6467.25,6506.0,539049
2019-01-09,6604.75,6645.0,6546.75,6546.75,496789
2019-01-10,6625.25,6641.75,6527.5,6597.25,496364
2019-01-11,6612.75,6632.5,6572.0,6622.5,364787
2019-01-14,6545.0,6602.5,6521.5,6599.0,364990
2019-01-15,6676.75,6689.0,6542.25,6543.0,492324
2019-01-16,6666.25,6737.25,6664.0,6674.5,443742
2019-01-17,6720.0,6760.0,6612.25,6670.0,472761
2019-01-18,6792.75,6828.25,6712.0,6722.75,499881
2019-01-22,6653.0,6794.5,6611.5,6794.5,651258
2019-01-23,6665.25,6724.25,6592.25,6652.0,515044
2019-01-24,6675.0,6718.5,6653.0,6663.0,449017
2019-01-25,6791.25,6810.5,6676.75,6684.5,446822
2019-01-28,6701.75,6791.0,6648.25,6784.25,490045
2019-01-29,6638.75,6721.0,6616.75,6695.25,441622
2019-01-30,6837.25,6845.25,6657.75,6690.25,526133
2019-01-31,6914.75,6943.0,6839.25,6844.25,557023
2019-02-01,6877.75,6927.5,6860.5,6911.0,461403
2019-02-04,6937.5,6983.0,6858.25,6863.75,353660
2019-02-05,7008.0,7033.75,6928.25,6937.5,369764
2019-02-06,6995.75,7038.75,6972.25,7009.25,376560
2019-02-07,6905.5,6994.75,6856.25,6988.0,595400
2019-02-08,6916.75,6926.25,6841.0,6902.0,464342
2019-02-11,6914.25,6969.5,6896.25,6921.75,384589
2019-02-12,7018.5,7028.5,6903.0,6908.5,363950
2019-02-13,7016.25,7069.75,7012.0,7017.25,359971
2019-02-14,7019.75,7057.5,6972.0,7017.25,490159
2019-02-15,7063.75,7095.25,6975.25,7017.5,430944
2019-02-19,7068.25,7094.75,7035.25,7063.75,386613
2019-02-20,7073.25,7105.0,7032.25,7068.75,418267
2019-02-21,7034.5,7113.75,7005.0,7070.75,432866
2019-02-22,7088.25,7101.25,7019.25,7031.25,367501
2019-02-25,7125.75,7168.5,7102.0,7108.5,346624
2019-02-26,7117.75,7151.0,7073.25,7122.0,362741
2019-02-27,7121.75,7131.75,7048.0,7109.25,367938
2019-02-28,7102.5,7130.75,7072.5,7121.25,360883
2019-03-01,7156.0,7164.5,7098.25,7106.5,383198
2019-03-04,7145.75,7211.5,7074.5,7177.0,556660
2019-03-05,7165.5,7182.0,7124.25,7144.5,364928
2019-03-06,7111.25,7171.25,7107.0,7156.0,444302
2019-03-07,7027.5,7123.25,7003.25,7109.0,556540
2019-03-08,7026.75,7034.0,6939.0,7025.5,312130
2019-03-11,7164.75,7176.75,6997.5,7022.25,203726
2019-03-12,7206.5,7223.0,7163.25,7176.0,167990
2019-03-13,7267.75,7295.5,7183.75,7209.25,127111
2019-03-14,7239.75,7293.5,7237.75,7273.25,82276
2019-03-15,7270.35009765625,7288.0,7243.0,7245.75,412124
