Price,Close,High,Low,Open,Volume
Ticker,ZB=F,ZB=F,ZB=F,ZB=F,ZB=F
Date,,,,,
2018-09-28,140.5,141.125,140.3125,140.59375,427740
2018-10-01,139.96875,140.34375,139.71875,140.28125,321589
2018-10-02,140.5,140.71875,139.84375,139.84375,392748
2018-10-03,138.5,140.5,138.09375,140.25,660735
2018-10-04,137.90625,138.28125,137.25,138.1875,702117
2018-10-05,137.28125,138.0625,136.8125,137.9375,565350
2018-10-08,137.03125,137.4375,136.65625,137.15625,108237
2018-10-09,137.71875,137.8125,136.5,136.9375,455916
2018-10-10,137.25,138.25,136.90625,137.6875,545642
2018-10-11,138.84375,138.96875,137.71875,138.1875,782198
2018-10-12,138.71875,138.875,137.9375,138.46875,469654
2018-10-15,138.28125,138.6875,138.21875,138.34375,292815
2018-10-16,138.5,138.59375,138.0,138.40625,306865
2018-10-17,138.15625,138.8125,137.625,138.375,326630
2018-10-18,138.125,138.40625,137.46875,137.65625,459720
2018-10-19,137.71875,138.21875,137.53125,138.0,380489
2018-10-22,137.8125,138.21875,137.625,137.84375,303401
2018-10-23,138.1875,139.21875,137.6875,137.6875,570864
2018-10-24,138.78125,139.21875,138.09375,138.125,461083
2018-10-25,138.71875,139.21875,138.40625,139.0625,354332
2018-10-26,139.4375,139.78125,138.875,138.875,553030
2018-10-29,139.34375,139.875,138.78125,139.4375,445446
2018-10-30,138.90625,139.375,138.625,139.28125,436740
2018-10-31,138.125,138.75,138.03125,138.65625,399593
2018-11-01,138.4375,138.65625,137.75,138.28125,373423
2018-11-02,137.15625,138.75,137.03125,138.71875,495266
2018-11-05,137.5625,137.78125,137.125,137.15625,290451
2018-11-06,137.4375,137.71875,137.125,137.53125,250577
2018-11-07,137.375,138.09375,136.75,137.125,539320
2018-11-08,137.1875,137.625,136.96875,137.0,276136
2018-11-09,137.90625,138.09375,137.0,137.0,317187
2018-11-12,138.46875,138.65625,137.8125,138.0,103422
2018-11-13,138.59375,138.71875,138.09375,138.5,378312
2018-11-14,138.875,139.3125,138.09375,138.625,470654
2018-11-15,138.78125,139.4375,138.5625,138.71875,467227
2018-11-16,139.5625,139.75,138.6875,138.78125,400375
2018-11-19,139.78125,139.9375,139.0,139.78125,335815
2018-11-20,140.03125,140.28125,139.59375,139.625,476455
2018-11-21,139.90625,139.9375,139.4375,139.8125,355635
2018-11-23,140.0,140.53125,139.6875,139.84375,220138
2018-11-26,139.78125,140.15625,139.625,140.125,661788
2018-11-27,139.90625,140.15625,139.65625,139.96875,695313
2018-11-28,139.9375,140.0625,139.5,139.90625,502637
2018-11-29,140.125,140.75,139.59375,139.6875,376029
2018-11-30,140.53125,140.96875,140.1875,140.21875,77897
2018-12-03,141.15625,141.625,140.0625,140.34375,42695
2018-12-04,142.78125,143.59375,141.46875,141.5625,0
2018-12-06,143.78125,144.40625,142.78125,142.78125,16921
2018-12-07,143.9375,144.03125,142.96875,143.375,5865
