Price,Close,High,Low,Open,Volume
Ticker,ZF=F,ZF=F,ZF=F,ZF=F,ZF=F
Date,,,,,
2018-09-28,112.828125,112.828125,112.75,112.75,979747
2018-10-01,112.4453125,112.484375,112.3359375,112.4296875,663976
2018-10-02,112.5234375,112.59375,112.4140625,112.421875,883391
2018-10-03,112.15625,112.5546875,112.046875,112.4765625,1414863
2018-10-04,112.0234375,112.109375,111.890625,112.078125,1457172
2018-10-05,111.953125,112.09375,111.859375,112.0546875,1224029
2018-10-08,112.0234375,112.0625,111.828125,111.953125,273436
2018-10-09,112.015625,112.0625,111.9140625,111.984375,1035601
2018-10-10,112.015625,112.28125,111.8828125,112.0,1342146
2018-10-11,112.3359375,112.3671875,112.1015625,112.2890625,2029973
2018-10-12,112.3203125,112.375,112.1171875,112.2421875,1053303
2018-10-15,112.2109375,112.328125,112.203125,112.2265625,703755
2018-10-16,112.2265625,112.2578125,112.1328125,112.2421875,786417
2018-10-17,112.1171875,112.2734375,112.015625,112.171875,727817
2018-10-18,112.1953125,112.28125,111.9609375,112.0234375,1143002
2018-10-19,112.0625,112.21875,112.0390625,112.1640625,993355
2018-10-22,112.0859375,112.15625,112.03125,112.078125,659772
2018-10-23,112.265625,112.4765625,112.0703125,112.0703125,1434276
2018-10-24,112.484375,112.6484375,112.234375,112.265625,1580126
2018-10-25,112.421875,112.640625,112.375,112.5859375,1074052
2018-10-26,112.7578125,112.875,112.515625,112.515625,1640949
2018-10-29,112.703125,112.8359375,112.5546875,112.765625,1138238
2018-10-30,112.6015625,112.7109375,112.5234375,112.6875,1008989
2018-10-31,112.3828125,112.53125,112.328125,112.515625,1088198
2018-11-01,112.484375,112.5234375,112.3515625,112.421875,937235
2018-11-02,112.15625,112.546875,112.1171875,112.546875,1280587
2018-11-05,112.203125,112.2734375,112.1640625,112.171875,674417
2018-11-06,112.09375,112.25,112.0390625,112.1875,726972
2018-11-07,112.0390625,112.2265625,111.90625,112.0546875,1194070
2018-11-08,111.90625,112.0390625,111.8671875,111.921875,850359
2018-11-09,112.1171875,112.1640625,111.8984375,111.8984375,897771
2018-11-12,112.3125,112.359375,112.1328125,112.15625,312661
2018-11-13,112.375,112.421875,112.2265625,112.3203125,1091851
2018-11-14,112.5390625,112.6953125,112.3046875,112.375,1457363
2018-11-15,112.578125,112.765625,112.453125,112.5,1343359
2018-11-16,112.8203125,112.890625,112.5546875,112.5859375,1403722
2018-11-19,112.9453125,113.0,112.7578125,112.8984375,1122775
2018-11-20,112.9140625,113.0,112.8203125,112.9140625,1418371
2018-11-21,112.828125,112.8671875,112.6875,112.828125,1352226
2018-11-23,112.8828125,112.9609375,112.78125,112.8046875,854299
2018-11-26,112.7734375,112.921875,112.734375,112.8984375,1890424
2018-11-27,112.8515625,112.90625,112.7578125,112.84375,2873491
2018-11-28,112.953125,112.984375,112.75,112.8203125,2922573
2018-11-29,112.9453125,113.1640625,112.8828125,112.9296875,1652466
2018-11-30,112.9765625,113.1171875,112.9453125,112.96875,190396
2018-12-03,112.9921875,113.078125,112.7890625,112.9296875,137346
2018-12-04,113.125,113.265625,113.0,113.0703125,3596
2018-12-06,113.3828125,113.6875,113.1171875,113.15625,57356
2018-12-07,113.6484375,113.6484375,113.2890625,113.34375,34504
2018-12-10,113.5703125,113.7421875,113.53125,113.7109375,20379
2018-12-11,113.4375,113.5859375,113.3828125,113.5625,32986
2018-12-12,113.34375,113.453125,113.3125,113.40625,5107
2018-12-13,113.375,113.421875,113.3046875,113.3046875,4509
2018-12-14,113.5078125,113.578125,113.453125,113.453125,8219
2018-12-17,113.671875,113.671875,113.4921875,113.4921875,16896
2018-12-18,113.8359375,113.859375,113.7421875,113.7421875,7943
2018-12-19,113.96875,114.0546875,113.78125,113.8984375,21730
2018-12-20,113.8515625,114.0078125,113.84375,113.8984375,676
2018-12-21,113.921875,113.9765625,113.890625,113.890625,149
2018-12-24,114.1953125,114.1953125,114.0234375,114.0234375,401
2018-12-26,114.03125,114.2578125,113.984375,114.234375,167
2018-12-27,114.3125,114.3125,114.1875,114.203125,2696
2018-12-28,114.40625,114.453125,114.40625,114.4453125,3107
2018-12-31,114.609375,114.609375,114.5,114.5,637468
2019-01-02,114.6875,114.90625,114.53125,114.5390625,963916
2019-01-03,115.3046875,115.3828125,114.7109375,114.9453125,1778369
2019-01-04,114.7578125,115.359375,114.640625,115.3359375,1464224
2019-01-07,114.5859375,114.875,114.484375,114.671875,956687
2019-01-08,114.3359375,114.5625,114.265625,114.5,822403
2019-01-09,114.3828125,114.4765625,114.2109375,114.296875,980524
2019-01-10,114.390625,114.6484375,114.3203125,114.4296875,989422
2019-01-11,114.53125,114.625,114.328125,114.34375,823814
2019-01-14,114.515625,114.7421875,114.4921875,114.515625,728741
2019-01-15,114.53125,114.703125,114.453125,114.53125,1104649
2019-01-16,114.4375,114.53125,114.3515625,114.4921875,784958
2019-01-17,114.296875,114.578125,114.2265625,114.4609375,898426
2019-01-18,114.0546875,114.328125,113.984375,114.2890625,985070
2019-01-22,114.296875,114.328125,114.0390625,114.046875,964895
2019-01-23,114.1875,114.28125,114.09375,114.2421875,802380
2019-01-24,114.3984375,114.453125,114.203125,114.25,841571
2019-01-25,114.1875,114.40625,114.125,114.375,847492
2019-01-28,114.234375,114.296875,114.09375,114.1484375,915488
2019-01-29,114.3828125,114.4140625,114.2109375,114.21875,792013
2019-01-30,114.5859375,114.6953125,114.25,114.375,1241314
2019-01-31,114.859375,114.9375,114.625,114.65625,1379359
2019-02-01,114.53125,114.8984375,114.4765625,114.859375,1431263
2019-02-04,114.40625,114.5546875,114.359375,114.5390625,759614
2019-02-05,114.5,114.5546875,114.328125,114.3984375,727835
2019-02-06,114.515625,114.640625,114.46875,114.5,746354
2019-02-07,114.75,114.7578125,114.515625,114.5234375,925346
2019-02-08,114.8125,114.8828125,114.6875,114.703125,693678
2019-02-11,114.640625,114.8125,114.6015625,114.7890625,646348
2019-02-12,114.578125,114.6953125,114.5078125,114.6796875,657941
2019-02-13,114.40625,114.5703125,114.359375,114.5546875,834618
2019-02-14,114.65625,114.7421875,114.3671875,114.4296875,1049123
2019-02-15,114.546875,114.6796875,114.4921875,114.640625,655562
2019-02-19,114.6640625,114.71875,114.484375,114.546875,952887
2019-02-20,114.6328125,114.7421875,114.6171875,114.7109375,979497
2019-02-21,114.46875,114.6796875,114.4140625,114.6640625,2111210
2019-02-22,114.6640625,114.734375,114.4453125,114.453125,1538101
2019-02-25,114.578125,114.640625,114.515625,114.609375,2685432
2019-02-26,114.7421875,114.7578125,114.6015625,114.6171875,2136354
2019-02-27,114.546875,114.7734375,114.5234375,114.734375,1271666
2019-02-28,114.46875,114.703125,114.3671875,114.5859375,229655
2019-03-01,114.25,114.46875,114.2109375,114.4375,83960
2019-03-04,114.3828125,114.40625,114.1875,114.1875,56033
2019-03-05,114.375,114.40625,114.234375,114.375,35033
2019-03-06,114.515625,114.5859375,114.375,114.3828125,50238
2019-03-07,114.7890625,114.796875,114.5234375,114.53125,41702
2019-03-08,114.84375,114.921875,114.734375,114.734375,9084
2019-03-11,114.765625,114.8359375,114.734375,114.8125,19577
2019-03-12,114.890625,114.9453125,114.6328125,114.75,5260
2019-03-13,114.8984375,114.90625,114.796875,114.8671875,4023
2019-03-14,114.8203125,114.8984375,114.765625,114.8203125,2788
2019-03-15,114.9609375,115.03125,114.8359375,114.8359375,27098
2019-03-18,114.8984375,115.015625,114.890625,114.9453125,3593
2019-03-19,114.8515625,114.96875,114.7890625,114.96875,26377
2019-03-20,115.2421875,115.296875,114.8984375,114.9296875,46280
2019-03-21,115.2109375,115.375,115.203125,115.28125,3636
2019-03-22,115.6015625,115.703125,115.421875,115.421875,23282
2019-03-25,115.8671875,116.0546875,115.59375,115.59375,8297
2019-03-26,115.890625,115.890625,115.7734375,115.7734375,47
2019-03-27,116.0625,116.171875,116.0,116.171875,20
2019-03-28,115.9296875,115.9296875,115.9296875,115.9296875,53
2019-03-29,115.765625,115.765625,115.640625,115.7578125,1299455
2019-04-01,115.515625,115.8359375,115.4296875,115.78125,1133590
2019-04-02,115.6171875,115.671875,115.484375,115.5,724316
2019-04-03,115.4765625,115.6640625,115.3984375,115.640625,931570
2019-04-04,115.484375,115.609375,115.4296875,115.4453125,707007
2019-04-05,115.4921875,115.5859375,115.3125,115.4765625,803883
2019-04-08,115.421875,115.578125,115.3984375,115.515625,428692
2019-04-09,115.5234375,115.59375,115.3828125,115.4140625,709477
2019-04-10,115.6328125,115.71875,115.4609375,115.5,791325
2019-04-11,115.4609375,115.671875,115.4453125,115.671875,608536
2019-04-12,115.1796875,115.5078125,115.140625,115.4765625,920164
2019-04-15,115.1953125,115.2265625,115.09375,115.15625,541716
2019-04-16,115.0234375,115.234375,115.0078125,115.203125,717834
2019-04-17,115.0703125,115.1171875,114.9296875,115.0390625,767120
2019-04-18,115.2109375,115.2734375,115.046875,115.0625,773708
2019-04-22,115.125,115.234375,115.109375,115.1953125,310794
2019-04-23,115.2578125,115.3125,115.1015625,115.140625,685227
2019-04-24,115.4765625,115.53125,115.25,115.2578125,847386
2019-04-25,115.4140625,115.5078125,115.3828125,115.46875,607960
2019-04-26,115.59375,115.6640625,115.3359375,115.40625,899314
2019-04-29,115.484375,115.6171875,115.453125,115.6015625,685468
2019-04-30,115.640625,115.6640625,115.3828125,115.5234375,1136246
2019-05-01,115.53125,115.9609375,115.4453125,115.6484375,1350875
2019-05-02,115.265625,115.53125,115.2578125,115.5078125,930021
2019-05-03,115.3671875,115.46875,115.109375,115.296875,898495
2019-05-06,115.5234375,115.8515625,115.484375,115.484375,790927
2019-05-07,115.71875,115.734375,115.5078125,115.7265625,1016974
2019-05-08,115.578125,115.8203125,115.515625,115.671875,1006592
2019-05-09,115.7265625,115.90625,115.5546875,115.5546875,1061087
2019-05-10,115.7421875,115.8828125,115.625,115.7578125,1087107
2019-05-13,116.0390625,116.125,115.75,115.8046875,1168764
2019-05-14,115.96875,116.1015625,115.9140625,116.0234375,852383
2019-05-15,116.1796875,116.3046875,115.953125,116.0078125,1167281
2019-05-16,116.015625,116.28125,115.9453125,116.203125,916748
2019-05-17,116.03125,116.2421875,115.96875,116.0859375,853442
2019-05-20,115.921875,116.09375,115.8984375,116.046875,901498
2019-05-21,115.8046875,115.953125,115.75,115.9140625,917204
2019-05-22,115.984375,116.0234375,115.7890625,115.8046875,1352565
2019-05-23,116.453125,116.484375,116.0,116.015625,2452841
2019-05-24,116.234375,116.359375,116.2265625,116.296875,1537441
2019-05-28,116.5078125,116.5546875,116.234375,116.3125,3094476
2019-05-29,116.6640625,116.796875,116.4765625,116.515625,2381767
2019-05-30,116.6953125,116.7734375,116.375,116.4921875,777242
2019-05-31,117.1953125,117.2890625,116.71875,116.7421875,358269
2019-06-03,117.609375,117.7421875,117.25,117.2578125,125254
2019-06-04,117.4375,117.71875,117.2421875,117.6640625,74019
2019-06-05,117.5390625,117.8203125,117.3203125,117.3203125,32575
2019-06-06,117.4140625,117.6953125,117.3359375,117.515625,38099
2019-06-07,117.546875,117.84375,117.3671875,117.4296875,12782
2019-06-10,117.28125,117.4375,117.25,117.3046875,5371
2019-06-11,117.2890625,117.2890625,117.140625,117.2578125,4894
2019-06-12,117.421875,117.4921875,117.265625,117.265625,2194
2019-06-13,117.6484375,117.6796875,117.46875,117.53125,4461
2019-06-14,117.5625,117.8046875,117.46875,117.6796875,6297
2019-06-17,117.5546875,117.625,117.453125,117.5625,1694
2019-06-18,117.609375,117.859375,117.546875,117.546875,1104
2019-06-19,117.890625,117.96875,117.3984375,117.6171875,11192
2019-06-20,118.0625,118.1953125,117.828125,117.9453125,5016
2019-06-21,117.75,117.9453125,117.6875,117.9375,3160
2019-06-24,118.015625,118.0390625,117.8359375,117.8359375,1227
2019-06-25,118.109375,118.2109375,118.0234375,118.078125,345
