Price,Close,High,Low,Open,Volume
Ticker,ZN=F,ZN=F,ZN=F,ZN=F,ZN=F
Date,,,,,
2018-09-28,118.78125,119.0,118.734375,118.765625,1713641
2018-10-01,118.671875,118.765625,118.515625,118.71875,1262949
2018-10-02,118.8125,118.921875,118.609375,118.625,1651670
2018-10-03,118.125,118.890625,117.921875,118.75,2673326
2018-10-04,117.859375,118.03125,117.609375,117.984375,2803647
2018-10-05,117.671875,117.96875,117.515625,117.890625,2363170
2018-10-08,117.703125,117.8125,117.421875,117.625,485721
2018-10-09,117.8125,117.859375,117.46875,117.640625,1937388
2018-10-10,117.75,118.203125,117.546875,117.796875,2551116
2018-10-11,118.390625,118.453125,117.953125,118.203125,3666139
2018-10-12,118.34375,118.4375,118.0,118.234375,1979954
2018-10-15,118.15625,118.328125,118.140625,118.171875,1416067
2018-10-16,118.21875,118.25,118.046875,118.21875,1463983
2018-10-17,118.046875,118.296875,117.84375,118.125,1593614
2018-10-18,118.140625,118.28125,117.78125,117.859375,2331342
2018-10-19,117.953125,118.1875,117.890625,118.078125,1956703
2018-10-22,118.0,118.125,117.875,117.96875,1410808
2018-10-23,118.265625,118.65625,117.96875,117.96875,2923885
2018-10-24,118.625,118.859375,118.21875,118.25,2709457
2018-10-25,118.53125,118.84375,118.4375,118.765625,2132579
2018-10-26,119.03125,119.1875,118.671875,118.6875,2768692
2018-10-29,118.953125,119.171875,118.703125,119.015625,1948721
2018-10-30,118.78125,118.984375,118.65625,118.953125,1990798
2018-10-31,118.4375,118.671875,118.359375,118.65625,1956359
2018-11-01,118.578125,118.65625,118.34375,118.515625,1654904
2018-11-02,118.046875,118.703125,117.984375,118.671875,2411856
2018-11-05,118.140625,118.25,118.03125,118.046875,1230676
2018-11-06,118.0,118.234375,117.890625,118.125,1215002
2018-11-07,117.984375,118.265625,117.71875,117.90625,2301837
2018-11-08,117.78125,118.0,117.703125,117.796875,1354498
2018-11-09,118.125,118.203125,117.734375,117.75,1697861
2018-11-12,118.390625,118.46875,118.109375,118.171875,563274
2018-11-13,118.515625,118.578125,118.234375,118.421875,1878432
2018-11-14,118.75,118.984375,118.375,118.5,2188936
2018-11-15,118.8125,119.09375,118.609375,118.6875,2392837
2018-11-16,119.15625,119.25,118.765625,118.8125,1826749
2018-11-19,119.296875,119.375,119.015625,119.25,1666762
2018-11-20,119.34375,119.4375,119.1875,119.234375,2225246
2018-11-21,119.234375,119.265625,119.015625,119.203125,1824157
2018-11-23,119.28125,119.453125,119.125,119.1875,1247520
2018-11-26,119.140625,119.359375,119.0625,119.328125,2513332
2018-11-27,119.25,119.328125,119.109375,119.25,3153782
2018-11-28,119.390625,119.40625,119.078125,119.234375,3081143
2018-11-29,119.421875,119.734375,119.234375,119.3125,1940800
2018-11-30,119.546875,119.765625,119.453125,119.46875,312021
2018-12-03,119.6875,119.859375,119.265625,119.375,116128
2018-12-04,120.09375,120.328125,119.78125,119.859375,135343
2018-12-06,120.453125,120.890625,120.078125,120.109375,98775
2018-12-07,120.765625,120.796875,120.25,120.359375,45301
2018-12-10,120.6875,120.9375,120.609375,120.828125,19818
2018-12-11,120.453125,120.78125,120.375,120.65625,20929
2018-12-12,120.28125,120.5,120.1875,120.484375,11122
2018-12-13,120.28125,120.390625,120.234375,120.25,5119
2018-12-14,120.453125,120.640625,120.28125,120.296875,6471
2018-12-17,120.71875,120.765625,120.40625,120.4375,4909
2018-12-18,120.953125,121.046875,120.703125,120.703125,5991
2018-12-19,120.921875,121.1875,120.890625,121.046875,2011340
2018-12-20,121.0625,121.328125,120.890625,121.265625,2172584
2018-12-21,121.03125,121.140625,120.890625,120.9375,1417613
2018-12-24,121.40625,121.5625,121.0,121.078125,513369
2018-12-26,121.03125,121.640625,120.875,121.53125,881047
2018-12-27,121.53125,121.59375,120.953125,120.96875,1465439
2018-12-28,121.625,121.8125,121.28125,121.390625,1312658
2018-12-31,122.015625,122.125,121.5625,121.671875,797287
2019-01-02,122.1875,122.515625,121.8125,121.8125,1537272
2019-01-03,123.15625,123.25,122.21875,122.59375,2637572
2019-01-04,122.296875,123.234375,122.125,123.15625,2132973
2019-01-07,122.046875,122.46875,121.90625,122.1875,1335862
2019-01-08,121.75,122.046875,121.609375,121.953125,1174114
2019-01-09,121.71875,121.859375,121.5,121.65625,1428110
2019-01-10,121.71875,122.109375,121.578125,121.796875,1426743
2019-01-11,121.953125,122.109375,121.609375,121.625,1209547
2019-01-14,121.90625,122.28125,121.875,121.921875,1058706
2019-01-15,121.90625,122.1875,121.78125,121.9375,1555787
2019-01-16,121.71875,121.9375,121.609375,121.84375,1180543
2019-01-17,121.515625,121.96875,121.390625,121.765625,1449617
2019-01-18,121.171875,121.546875,121.0625,121.5,1468412
2019-01-22,121.578125,121.625,121.15625,121.171875,1733333
2019-01-23,121.390625,121.546875,121.21875,121.484375,1383476
2019-01-24,121.75,121.84375,121.40625,121.484375,1356409
2019-01-25,121.40625,121.78125,121.3125,121.703125,1319213
2019-01-28,121.5,121.609375,121.265625,121.34375,1326926
2019-01-29,121.78125,121.8125,121.453125,121.46875,1191668
2019-01-30,122.0,122.140625,121.5,121.75,1711957
2019-01-31,122.46875,122.59375,122.0625,122.109375,1941362
2019-02-01,121.9375,122.53125,121.875,122.453125,1757389
2019-02-04,121.71875,122.0,121.625,121.984375,1022090
2019-02-05,121.875,121.96875,121.59375,121.71875,1036243
2019-02-06,121.890625,122.109375,121.8125,121.875,1087271
2019-02-07,122.28125,122.296875,121.90625,121.921875,1523473
2019-02-08,122.375,122.46875,122.1875,122.203125,1124119
2019-02-11,122.125,122.40625,122.0625,122.328125,963200
2019-02-12,121.953125,122.203125,121.890625,122.1875,1143327
2019-02-13,121.75,121.984375,121.65625,121.9375,1308329
2019-02-14,122.171875,122.296875,121.703125,121.78125,1743940
2019-02-15,122.046875,122.25,121.90625,122.171875,1084414
2019-02-19,122.21875,122.3125,121.9375,122.046875,1313246
2019-02-20,122.15625,122.375,122.140625,122.296875,1418484
2019-02-21,121.90625,122.25,121.796875,122.21875,2635431
2019-02-22,122.140625,122.28125,121.84375,121.84375,1879806
2019-02-25,122.03125,122.125,121.921875,122.046875,3161503
2019-02-26,122.328125,122.359375,122.0625,122.09375,3194291
2019-02-27,121.921875,122.375,121.875,122.296875,1627040
2019-02-28,121.75,122.171875,121.609375,122.0,280819
2019-03-01,121.4375,121.765625,121.359375,121.71875,103654
2019-03-04,121.671875,121.71875,121.3125,121.359375,60189
2019-03-05,121.6875,121.71875,121.46875,121.671875,61859
2019-03-06,121.9375,122.046875,121.6875,121.734375,45404
2019-03-07,122.421875,122.421875,121.953125,121.96875,16332
2019-03-08,122.515625,122.6875,122.328125,122.390625,20808
2019-03-11,122.40625,122.515625,122.28125,122.46875,5093
2019-03-12,122.609375,122.671875,122.15625,122.25,14993
2019-03-13,122.59375,122.625,122.421875,122.5625,5233
2019-03-14,122.453125,122.578125,122.34375,122.5,4737
2019-03-15,122.703125,122.8125,122.40625,122.40625,26349
2019-03-18,122.59375,122.765625,122.578125,122.703125,16169
2019-03-19,122.5,122.703125,122.40625,122.625,7481
2019-03-20,122.6875,122.71875,122.546875,122.5625,1540615
2019-03-21,123.359375,123.6875,123.28125,123.4375,1563387
2019-03-22,124.03125,124.265625,123.328125,123.359375,2521931
2019-03-25,124.328125,124.671875,123.875,124.0625,2186358
2019-03-26,124.40625,124.515625,124.0625,124.484375,1960900
2019-03-27,124.6875,124.96875,124.265625,124.3125,2172081
2019-03-28,124.5,124.953125,124.328125,124.703125,1775988
2019-03-29,124.21875,124.453125,124.078125,124.40625,1962022
2019-04-01,123.609375,124.171875,123.515625,124.15625,1761109
2019-04-02,123.765625,123.859375,123.609375,123.625,1346910
2019-04-03,123.5,123.84375,123.40625,123.8125,1565485
2019-04-04,123.546875,123.703125,123.421875,123.4375,1191134
2019-04-05,123.59375,123.6875,123.265625,123.515625,1419966
2019-04-08,123.453125,123.703125,123.421875,123.625,860631
2019-04-09,123.640625,123.75,123.40625,123.453125,1254979
2019-04-10,123.796875,123.921875,123.53125,123.59375,1349148
2019-04-11,123.5625,123.859375,123.515625,123.84375,1142422
2019-04-12,123.09375,123.671875,123.03125,123.609375,1629932
2019-04-15,123.15625,123.203125,122.96875,123.046875,1013260
2019-04-16,122.828125,123.203125,122.796875,123.15625,1356140
2019-04-17,122.859375,122.9375,122.640625,122.84375,1521927
2019-04-18,123.140625,123.234375,122.84375,122.859375,1434418
2019-04-22,122.9375,123.171875,122.921875,123.125,610997
2019-04-23,123.125,123.203125,122.90625,122.953125,942906
2019-04-24,123.53125,123.578125,123.109375,123.140625,1330691
2019-04-25,123.390625,123.5625,123.328125,123.515625,1141463
2019-04-26,123.671875,123.75,123.28125,123.390625,1492354
2019-04-29,123.4375,123.703125,123.390625,123.671875,918956
2019-04-30,123.671875,123.71875,123.3125,123.515625,1897188
2019-05-01,123.578125,124.125,123.46875,123.6875,1929299
2019-05-02,123.171875,123.65625,123.15625,123.609375,1605845
2019-05-03,123.34375,123.46875,122.9375,123.25,1488964
2019-05-06,123.625,124.109375,123.5625,123.5625,1421616
2019-05-07,124.015625,124.03125,123.609375,123.9375,1816896
2019-05-08,123.75,124.1875,123.65625,123.921875,2020026
2019-05-09,123.984375,124.265625,123.734375,123.734375,2119854
2019-05-10,123.984375,124.21875,123.828125,124.0625,2112004
2019-05-13,124.421875,124.5625,124.0,124.09375,1832738
2019-05-14,124.328125,124.53125,124.25,124.40625,1302395
2019-05-15,124.671875,124.84375,124.3125,124.390625,1905968
2019-05-16,124.421875,124.84375,124.3125,124.6875,1441988
2019-05-17,124.484375,124.78125,124.359375,124.515625,1357736
2019-05-20,124.28125,124.59375,124.25,124.5,1263291
2019-05-21,124.140625,124.359375,124.03125,124.28125,1308309
2019-05-22,124.4375,124.515625,124.09375,124.140625,1523116
2019-05-23,125.203125,125.21875,124.46875,124.5,3130623
2019-05-24,124.890625,125.078125,124.84375,124.9375,2851424
2019-05-28,125.390625,125.453125,124.90625,125.015625,4279844
2019-05-29,125.625,125.84375,125.34375,125.40625,3176520
2019-05-30,125.6875,125.8125,125.203125,125.375,1414607
2019-05-31,126.375,126.5,125.734375,125.75,403790
2019-06-03,126.890625,127.078125,126.3125,126.3125,177818
2019-06-04,126.59375,127.046875,126.328125,126.953125,92950
2019-06-05,126.640625,127.0625,126.40625,126.4375,75356
2019-06-06,126.609375,126.90625,126.515625,126.625,26921
2019-06-07,126.890625,127.25,126.578125,126.65625,13638
2019-06-10,126.4375,126.6875,126.390625,126.578125,12131
2019-06-11,126.4375,126.484375,126.203125,126.390625,8523
2019-06-12,126.640625,126.734375,126.4375,126.4375,7195
2019-06-13,127.0,127.078125,126.6875,126.703125,13309
2019-06-14,126.9375,127.28125,126.84375,127.078125,9381
2019-06-17,126.96875,127.046875,126.75,126.875,12680
2019-06-18,127.140625,127.5,126.90625,126.90625,6267
2019-06-19,126.90625,127.015625,126.828125,127.015625,1922272
2019-06-20,128.0625,128.265625,127.671875,127.875,2238622
2019-06-21,127.515625,128.015625,127.4375,127.796875,1597384
2019-06-24,127.9375,127.984375,127.53125,127.640625,987020
2019-06-25,128.125,128.25,127.890625,127.96875,1649628
2019-06-26,127.59375,128.1875,127.5625,128.171875,1372796
2019-06-27,127.9375,127.953125,127.375,127.625,1358937
2019-06-28,127.96875,128.0,127.6875,127.859375,1360265
2019-07-01,127.6875,127.96875,127.53125,127.609375,1480141
2019-07-02,128.140625,128.171875,127.71875,127.75,1168305
2019-07-03,128.25,128.4375,128.140625,128.15625,1229180
2019-07-05,127.46875,128.40625,127.265625,128.25,1994242
2019-07-08,127.5,127.734375,127.328125,127.46875,1181049
2019-07-09,127.296875,127.5,127.15625,127.390625,1234559
2019-07-10,127.4375,127.578125,126.859375,127.234375,1896091
2019-07-11,126.984375,127.640625,126.75,127.4375,1751719
2019-07-12,127.109375,127.140625,126.78125,126.859375,1148508
2019-07-15,127.171875,127.21875,126.84375,127.0,931067
2019-07-16,126.921875,127.25,126.71875,127.203125,1322335
2019-07-17,127.359375,127.53125,126.96875,127.03125,1072723
2019-07-18,127.640625,127.8125,127.234375,127.453125,1741787
2019-07-19,127.53125,127.859375,127.375,127.78125,1260018
2019-07-22,127.59375,127.6875,127.34375,127.484375,816913
2019-07-23,127.359375,127.609375,127.28125,127.5625,1078947
2019-07-24,127.515625,127.671875,127.265625,127.28125,1127865
2019-07-25,127.28125,127.84375,127.078125,127.53125,1985659
2019-07-26,127.21875,127.375,127.03125,127.234375,1002499
2019-07-29,127.453125,127.5,127.28125,127.3125,867368
2019-07-30,127.34375,127.546875,127.234375,127.359375,1151527
2019-07-31,127.421875,127.703125,127.015625,127.359375,2403170
2019-08-01,128.6875,128.8125,127.140625,127.5,3135151
2019-08-02,128.859375,129.140625,128.453125,128.5625,2311855
2019-08-05,129.84375,130.0,128.84375,128.90625,2625894
2019-08-06,129.765625,130.328125,129.46875,130.15625,2306499
2019-08-07,130.15625,130.859375,129.71875,130.015625,2910174
2019-08-08,129.921875,130.015625,129.375,129.734375,2059943
2019-08-09,129.6875,130.265625,129.546875,130.0,1594152
2019-08-12,130.375,130.453125,129.609375,129.671875,1147618
2019-08-13,129.828125,130.53125,129.53125,130.28125,2232738
2019-08-14,130.515625,130.6875,129.65625,129.671875,2099883
2019-08-15,130.953125,131.34375,130.3125,130.4375,2722396
2019-08-16,130.921875,131.09375,130.40625,130.90625,1549517
2019-08-19,130.4375,130.8125,130.296875,130.8125,1296412
2019-08-20,130.734375,130.953125,130.359375,130.359375,1318349
2019-08-21,130.53125,130.796875,130.328125,130.75,1479712
2019-08-22,130.296875,130.734375,130.125,130.46875,1941609
2019-08-23,130.953125,131.15625,129.875,130.25,3167656
2019-08-26,130.78125,131.609375,130.75,131.3125,2771285
2019-08-27,131.140625,131.296875,130.84375,130.859375,3317674
2019-08-28,131.359375,131.515625,131.125,131.25,2277729
2019-08-29,130.953125,131.53125,130.8125,131.3125,1120486
2019-08-30,131.046875,131.140625,130.75,131.09375,134475
2019-09-03,131.453125,131.71875,130.859375,131.25,79351
2019-09-04,131.609375,131.65625,131.21875,131.484375,30298
2019-09-05,130.65625,131.5625,130.453125,131.53125,43583
2019-09-06,130.734375,130.828125,130.234375,130.671875,18686
2019-09-09,130.25,130.671875,130.015625,130.640625,13594
2019-09-10,129.5625,130.21875,129.25,130.078125,14702
2019-09-11,129.34375,129.5,129.203125,129.375,5571
2019-09-12,128.890625,129.78125,128.859375,129.296875,8368
2019-09-13,128.078125,129.109375,128.0625,128.953125,4103
2019-09-16,128.53125,128.671875,128.25,128.375,4831
2019-09-17,128.71875,128.859375,128.4375,128.4375,5737
2019-09-18,128.8125,129.25,128.671875,128.734375,4089
2019-09-19,128.921875,129.046875,128.53125,128.53125,1440535
2019-09-20,129.6875,129.96875,129.375,129.5,1238680
2019-09-23,130.078125,130.421875,129.578125,129.765625,1513971
2019-09-24,130.71875,130.78125,129.921875,129.96875,1689336
2019-09-25,129.953125,130.75,129.890625,130.578125,1777604
2019-09-26,130.28125,130.390625,129.90625,129.921875,1540564
2019-09-27,130.390625,130.40625,129.9375,130.21875,1325313
2019-09-30,130.3125,130.390625,130.03125,130.21875,1214229
2019-10-01,130.65625,130.921875,129.625,130.375,2172846
2019-10-02,131.140625,131.25,130.4375,130.6875,1824231
2019-10-03,131.75,131.96875,131.046875,131.0625,1916073
2019-10-04,131.90625,132.03125,131.484375,131.703125,1601440
2019-10-07,131.515625,131.984375,131.40625,131.90625,1084278
2019-10-08,131.703125,131.953125,131.203125,131.484375,1396465
2019-10-09,131.28125,131.8125,131.25,131.75,1192798
2019-10-10,130.703125,131.75,130.59375,131.359375,1907652
