Price,Close,High,Low,Open,Volume
Ticker,AMGN,AMGN,AMGN,AMGN,AMGN
Date,,,,,
2018-09-28,170.11683654785156,171.35605741139756,169.69009676826465,171.14267499916207,3238200
2018-10-01,169.8049774169922,171.7992012057478,169.56697590160093,170.47792087882587,2518100
2018-10-02,170.42868041992188,170.78157532773275,169.13201922908078,169.40284205904516,2172100
2018-10-03,169.79678344726562,170.90469403582668,169.5834135474251,170.90469403582668,2258800
2018-10-04,166.98187255859375,170.0019348002867,164.79888543593705,169.13202583985213,3219800
2018-10-05,167.4332275390625,169.13200925280213,165.63595683322822,167.78610990361761,2481000
2018-10-08,168.70529174804688,169.16486536352937,166.78491267986385,166.8998060837345,2878100
2018-10-09,169.05816650390625,170.76516308586196,167.81895823809725,168.85299882611025,2509100
2018-10-10,165.11892700195312,169.34538822793286,164.76604464449483,168.2374778768411,4148000
2018-10-11,159.08705139160156,166.5633634351648,157.8806642243046,165.40621451593,4175000
2018-10-12,161.99220275878906,162.56666979319206,159.33322495641238,160.53961198987977,3231400
2018-10-15,160.51499938964844,162.82929706540378,160.03080662115528,161.01560908048924,2091100
2018-10-16,166.0545196533203,166.3335447081495,161.0320185766267,161.85268934196577,2261500
2018-10-17,166.4074249267578,166.85058165768314,163.26425419764846,165.29131211569663,2459700
2018-10-18,166.36634826660156,167.83534315927344,164.36390996010013,166.73564753928983,2433600
2018-10-19,165.6113739013672,168.3359945107952,165.32413410552726,166.38280647538951,2692500
2018-10-22,162.5092010498047,165.6113350177828,162.0578297005084,165.08610631744895,2717500
2018-10-23,162.19737243652344,163.38734256287518,158.98034448204848,161.09767659685724,2553500
2018-10-24,154.1876220703125,162.45998460172788,153.76907198009187,161.62289694372828,4288300
2018-10-25,154.36817932128906,156.33778419189503,148.79581769106795,154.82775295626763,4983700
2018-10-26,152.62828063964844,153.73619071151705,150.412473018348,152.15229029512014,4580400
2018-10-29,154.4420166015625,156.67424184325617,151.65994350935142,155.3693784731131,3829500
2018-10-30,155.17245483398438,156.74814145481594,153.4900769892737,155.45968213470212,4040600
2018-10-31,158.2170867919922,160.301597225103,155.13957189945629,155.17240573754316,4541000
2018-11-01,158.30735778808594,159.52195932336994,156.71526730213347,158.23350043757864,2827300
2018-11-02,153.5146484375,160.31801507883077,152.50522705314634,159.4480936786191,3696300
2018-11-05,155.8617706298828,156.51830966399424,153.9167851680547,154.02346383885893,2713500
2018-11-06,156.54295349121094,158.1432590302761,155.53353192386868,156.09979677364,2139000
2018-11-07,162.1809844970703,162.27125879988827,157.57702009824288,158.23355934396955,3077800
2018-11-08,160.8678741455078,162.72258541971982,160.2605733193338,162.1152845935458,2636600
2018-11-09,158.52076721191406,161.5982825658925,157.7165008499161,160.33444258129114,2344900
2018-11-12,157.2076416015625,159.80096343025255,156.3213159440695,158.92283996981882,2109100
2018-11-13,157.19944763183594,159.88304385838208,156.77269543609222,158.31556008978487,2232200
2018-11-14,156.22288513183594,158.7177187125165,155.64841810889388,157.59340378744122,2850300
2018-11-15,159.0408935546875,159.18965231392352,154.63617405714945,155.6443844357166,2607100
