Price,Close,High,Low,Open,Volume
Ticker,LIN,LIN,LIN,LIN,LIN
Date,,,,,
2018-09-28,145.4256591796875,146.7014055708939,144.8646985562702,145.3985168144178,1302400
2018-10-01,152.79051208496094,152.99862185817346,149.5513912887984,149.81378576602262,2329700
2018-10-02,152.935302734375,153.1433987319661,149.6780819613592,150.42905268974556,1652300
2018-10-03,151.61434936523438,153.58676779760967,151.2614710780636,153.58676779760967,950500
2018-10-04,150.0399932861328,151.09858651700176,147.82328025708873,150.93573239188825,1720100
2018-10-05,148.60142517089844,149.95859839484615,148.06759321034355,148.5199842849928,1538700
2018-10-08,148.66473388671875,149.20760862979546,147.3618455480372,147.92281979745067,1109000
2018-10-09,145.83277893066406,148.1490328096925,145.66992477202697,147.38900531841324,1510400
2018-10-10,142.96458435058594,146.21276189362666,142.90125679606493,145.85989750164887,2222200
2018-10-11,139.5716552734375,143.14555493451394,139.12832096438234,142.89220329321253,1977000
2018-10-12,141.36318969726562,142.7565483466906,140.53983450148255,141.8879650811972,1840700
2018-10-15,141.86080932617188,144.1227650535901,141.13699453810375,141.6979551406212,2161500
2018-10-16,145.371337890625,145.52514919043315,142.24984241667113,142.70223346524065,1297500
2018-10-17,144.57510375976562,146.80087346281707,143.94175914698744,146.30324062210667,1540700
2018-10-18,145.99563598632812,151.5690968745656,144.2946412696362,151.17099055313736,3739600
2018-10-19,144.6294403076172,147.53378344063864,144.12275067827358,146.08614020301337,3012000
2018-10-22,150.9900360107422,152.86292771349986,145.23562150278678,149.49713731417432,7591100
2018-10-23,148.53807067871094,150.13953880721675,146.21278793937827,149.1442730085117,4959200
2018-10-24,145.87803649902344,148.38428716619683,145.47088725273147,146.3394842765848,5610900
2018-10-25,149.28904724121094,150.5195514555555,146.96375060584396,147.2623303570319,5105400
2018-10-26,149.23471069335938,151.19808552150462,147.87753800797907,148.12183295699236,35352000
2018-10-29,149.73239135742188,153.0529399336091,148.918079202068,150.3928784100351,14032500
2018-10-30,148.83668518066406,151.7048433538835,147.24427333669058,150.2933852048803,57375600
2018-10-31,149.7142333984375,149.83185944076988,145.95033810253614,146.33940142401138,18032200
2018-11-01,146.57469177246094,149.72332943377896,146.5204070585228,148.98141533349366,11423500
2018-11-02,144.620361328125,146.4027830929045,140.6393257817655,145.36228924502467,6835100
2018-11-05,146.56564331054688,146.74659695203866,142.4579252387061,142.6388788801979,4477400
2018-11-06,149.76858520507812,150.51051318013833,146.27612562333252,146.42089407786327,2510600
2018-11-07,150.962890625,150.962890625,148.59235226505817,148.87283249172935,7626300
2018-11-08,149.5604705810547,150.32952701408504,147.41612780689243,148.83664220429588,4010000
2018-11-09,146.14041137695312,148.32998244299006,145.26277161915212,147.470442193172,3249100
2018-11-12,144.05938720703125,146.8461173475695,143.77890700363778,144.81940075284788,1990800
2018-11-13,141.9874267578125,145.06369371404477,141.62551949513912,144.96416714592803,2507100
2018-11-14,138.7573699951172,143.17271063418528,138.43164791836827,143.1274687723828,2338700
2018-11-15,140.40406799316406,141.41743324902032,138.03354350587452,141.22742294921036,2759400
2018-11-16,143.02793884277344,143.37176041735154,138.79355194439273,139.1011883139046,2726800
2018-11-19,144.312744140625,146.077066464554,143.35367732894457,143.50748862837642,2464700
2018-11-20,142.8379364013672,144.93703736340544,142.26793310350817,142.4941286137686,2151600
2018-11-21,143.9146270751953,145.88705907406467,143.45319321131853,144.0774950191906,2070900
2018-11-23,141.3179168701172,142.96461309514063,141.16410557149646,141.92411921381498,963600
2018-11-26,142.34033203125,143.15463042997607,141.94222568311557,142.08698033217195,2678200
2018-11-27,138.0244903564453,141.73408809809516,137.09256604483468,140.83836279607004,2525900
2018-11-28,141.40838623046875,141.58029703585166,137.25543976666935,138.91119264173975,1808800
2018-11-29,144.14080810546875,144.62034142737886,140.55787936795636,140.7026339853407,2901300
2018-11-30,143.90562438964844,145.3170825374531,141.9965332266865,142.06891746578955,3944100
2018-12-03,148.70095825195312,148.76428582611135,144.69276597650259,146.846152003733,3177200
2018-12-04,145.51609802246094,148.64663616834068,145.17227642731822,148.33901358630686,2746100
2018-12-06,141.12791442871094,143.8784598674972,138.4316675153011,143.43511164847524,4785400
2018-12-07,138.1783447265625,143.42608447705342,137.85262256809392,141.34508256494203,2518700
2018-12-10,141.9693603515625,142.5393636774392,139.43596775094483,141.17314769842807,2540400
2018-12-11,142.46697998046875,146.9908899863713,141.73409496257528,145.81467062366107,2552900
2018-12-12,145.2627716064453,146.70137185867722,144.27656241259172,146.25802365134987,2402600
2018-12-13,143.03700256347656,145.94135925394573,142.32223076063462,145.127047059423,2456700
2018-12-14,141.9874267578125,143.380798711447,141.19122801875562,142.39458968566646,2360800
2018-12-17,143.1016845703125,145.0208648809435,141.5190384485591,142.9743461843445,3148600
2018-12-18,143.3563690185547,144.52060971798738,142.46500026904863,144.09311356816588,2147000
2018-12-19,141.7373504638672,144.16588451868915,141.17342526218513,143.16535863295232,2618700
2018-12-20,140.1182861328125,142.25575242990993,138.65388806902635,140.5093918490512,3398900
2018-12-21,139.26329040527344,143.23807909738036,139.19052364812688,141.901019427347,5452000
2018-12-24,134.73367309570312,139.5361682420328,134.73367309570312,138.89037191901494,2086800
2018-12-26,138.92678833007812,138.95407413544444,132.75084197709728,135.2976235490839,2591500
2018-12-27,142.264892578125,142.264892578125,136.98032855280786,138.29919342877778,2867000
2018-12-28,142.17388916015625,144.22040733306096,141.0187394609305,142.8924522019041,1586100
2018-12-31,141.92831420898438,142.80150147116677,140.01823875864898,142.1011335332901,1853900
2019-01-02,142.9833984375,143.8565856203009,139.6362109742486,139.64530161407592,1716400
2019-01-03,138.5174560546875,140.39116901997593,138.1900125526687,140.1273877628501,1775500
2019-01-04,142.4649658203125,143.36542499483784,139.49068865511052,139.91818470156136,1801300
2019-01-07,142.337646484375,143.74745929533,141.11882042368137,141.69185006867752,1830200
2019-01-08,143.8475341796875,144.22045873280308,141.1643232835809,141.9738346497726,2207300
2019-01-09,144.12945556640625,145.10268141088844,142.1920806383091,142.55590053031682,2099900
2019-01-10,147.21292114257812,147.33115501066013,144.0294475276962,144.34778656187825,2093900
2019-01-11,145.72120666503906,146.2214555975891,144.9571626081693,146.03954563313084,1380400
2019-01-14,143.72926330566406,145.07541372879624,143.43819625264035,144.04760228121262,2004800
2019-01-15,143.0107421875,143.5928625856445,142.38314081411008,142.65601278673768,2110700
2019-01-16,143.01983642578125,144.09311519440345,142.87430286699868,143.28360385708606,1382100
2019-01-17,143.03799438476562,143.39272370217108,142.0829635232568,142.25576898243028,2176500
2019-01-18,146.24874877929688,146.84906418326284,143.72016267284292,144.40233548312023,2494800
2019-01-22,146.2942352294922,147.14922740438934,145.24824243270467,146.9946032270546,1699100
2019-01-23,144.55694580078125,146.52160663701508,143.21989998930994,146.04864352664916,1569500
2019-01-24,143.13807678222656,143.62924909565598,142.28308443420434,143.35637713028905,2528000
2019-01-25,144.47511291503906,145.6302628451364,144.2932029279695,144.33868389444748,1242700
2019-01-28,143.90211486816406,144.0658297130319,142.69239318087887,143.51099516290628,1422500
2019-01-29,146.63986206054688,147.34932064222068,144.9389823684367,145.13908749443092,1558300
2019-01-30,148.18612670898438,148.94106629827786,146.58529948133702,147.15831521482647,1113500
2019-01-31,148.26800537109375,148.64092989857264,145.19368884685184,146.60350177953913,1645900
2019-02-01,150.76927185058594,150.8966102116882,148.6772864723116,149.08658735593744,1324300
2019-02-04,148.71365356445312,150.7056001355638,148.45897685825847,150.51458566649802,2106500
2019-02-05,150.0689239501953,150.97848767498962,148.98654089707554,150.31449616312426,2358600
2019-02-06,148.6409149169922,149.7323887040615,148.29527623086406,149.12298262193815,1124800
2019-02-07,146.15782165527344,147.56764844077338,145.01176228748375,147.12195714453927,1361000
2019-02-08,146.63986206054688,146.99459135138378,144.69339628129092,145.59386934826495,1557900
2019-02-11,146.7581024169922,147.0036746129703,146.10321547003716,146.4943211828586,1128400
2019-02-12,152.3792266845703,152.39742184716923,149.06841491253869,149.286715227198,1772000
2019-02-13,152.24278259277344,153.2523988950188,151.70612944054412,151.97900133714796,1599300
2019-02-14,151.4423828125,152.44290861084653,150.92392475003595,151.57881184007312,1104100
2019-02-15,153.29788208007812,155.2716478081463,152.59752792247215,155.1170097433838,2573600
2019-02-19,152.6793975830078,153.51619470978787,152.406525635856,152.80673597449947,2221200
2019-02-20,154.89871215820312,155.54449466004786,152.43378824513348,152.43378824513348,2574800
2019-02-21,155.89920043945312,156.71781603275386,155.11697516345794,155.5171853807819,1736500
2019-02-22,157.80931091308594,158.02761120986736,156.03566437311636,156.6632655823767,1075700
2019-02-25,158.82801818847656,159.18274749717347,157.7092586577927,158.1640405345242,1526800
2019-02-26,158.18223571777344,159.07360431021613,157.76383028443175,158.07307862973045,1739200
2019-02-27,158.71890258789062,159.28282777190122,157.01802251428194,157.71837673350677,1451800
2019-02-28,157.5727996826172,159.10995047544162,157.4454613365004,159.00080728700976,1698300
2019-03-01,153.15234375,160.74719249139858,152.67936672910707,160.41065835593065,3033500
2019-03-04,153.44342041015625,153.6344349274521,151.05127689590836,153.12508138645396,1738100
2019-03-05,153.2069091796875,154.57125470592004,153.12505177903526,153.12505177903526,1205900
2019-03-06,153.8345184326172,154.33476738213852,152.99772146464775,153.5707371781892,986800
2019-03-07,153.11679077148438,154.84480557409762,152.52250535484083,154.84480557409762,1450100
2019-03-08,154.93626403808594,154.99111944474018,153.3819531107808,154.28710917363296,1558400
2019-03-11,156.6002655029297,156.62769320514906,154.89967821023598,154.95453361467474,1188800
2019-03-12,157.55111694335938,158.08139507931995,156.70081644063217,157.05739047054578,1309200
2019-03-13,159.4437255859375,160.4677303726078,158.7580051053596,159.09628941145198,1538500
2019-03-14,159.27920532226562,159.48948909069523,158.32833150228123,159.31577095333137,1033200
2019-03-15,161.30889892578125,161.79348762638818,159.4803107534492,161.17176039326458,3661400
2019-03-18,159.58998107910156,159.95569300838045,158.5659625652921,159.77283704374102,1220400
2019-03-19,158.70314025878906,160.72372200879593,157.82541195741175,160.32144440297515,1251600
2019-03-20,161.49172973632812,161.71115133513723,159.41627875781634,160.32143470595554,1536400
2019-03-21,160.09286499023438,160.76029562060953,158.81284517945392,159.39799270834803,1146300
2019-03-22,155.30198669433594,157.95343383849675,154.68941135967864,157.3500103729218,1384000
2019-03-25,155.4299774169922,157.1854201936971,155.02768583151456,156.31684369833536,1349700
2019-03-26,156.32594299316406,156.61852369250465,155.14651018260935,156.24365990310537,1408100
2019-03-27,154.9545440673828,155.4756983467432,154.2322579418521,154.936268232016,1821400
2019-03-28,158.81285095214844,158.95000341061967,156.09739689643092,156.30769454254988,1892500
2019-03-29,160.85169982910156,161.0071420503449,158.97740871982145,160.32142170762796,2158100
2019-04-01,161.44602966308594,162.90889163329666,160.91573749041575,161.6837410711028,1791900
2019-04-02,162.76263427734375,162.90891072579495,161.54662148989974,162.13176913676554,1179700
2019-04-03,167.07809448242188,168.7146746421756,165.14893353934926,165.62435638571304,2379600
2019-04-04,168.13865661621094,168.26665721481794,166.78550543793398,167.83695188100924,1471400
2019-04-05,168.7969512939453,169.53752719071846,168.21180370072787,168.76952359043662,1403400
2019-04-08,168.9981231689453,169.98556250070996,168.3672579888439,169.9672727118751,1138500
2019-04-09,167.224365234375,169.19010568400114,167.08722671624676,169.19010568400114,1388200
2019-04-10,165.5054931640625,167.85522133872578,164.40834322468197,167.6723653406654,2443700
2019-04-11,164.43577575683594,166.2277841218901,164.36263056525962,166.1089214417012,1916400
2019-04-12,164.8928985595703,165.60604663408364,164.70089071596286,165.30432799471004,1914500
2019-04-15,164.70086669921875,164.96600573399647,163.78657299844568,164.70086669921875,1448000
2019-04-16,165.13978576660156,165.1946411770796,163.4757778610152,164.64607312127944,1749700
2019-04-17,164.4906005859375,166.27347070226253,164.02430182019512,165.1580311523533,1663300
2019-04-18,164.93858337402344,165.29515737081778,164.27115285715504,164.68258224560776,1547300
2019-04-22,163.5671844482422,165.30435134906267,163.50319112534316,164.43577487416178,1002100
