Price,Close,High,Low,Open,Volume
Ticker,UNH,UNH,UNH,UNH,UNH
Date,,,,,
2018-09-28,241.273681640625,241.4097122317618,239.2875519801652,239.76821185326247,2875100
2018-10-01,244.0488739013672,244.88321350798083,242.16249033779084,242.3710890777579,3314500
2018-10-02,245.43637084960938,246.17096367964083,242.59774606551824,243.958107258409,2777300
2018-10-03,245.68125915527344,246.7423532070666,244.65644915632208,246.67886303374925,3002200
2018-10-04,243.34146118164062,246.33424528086093,242.42547562161516,245.77196698023616,2186600
2018-10-05,244.1395721435547,245.7719949879528,243.0059374803261,243.6407562857576,2045700
2018-10-08,243.9672393798828,244.54764589259483,240.92001523911188,243.81305289939456,1865000
2018-10-09,244.96484375,246.64262865489496,243.47752940341798,244.1305041029641,2510100
2018-10-10,238.5892791748047,246.15291418053405,238.08141304790783,245.4092431816393,4267300
2018-10-11,233.1841278076172,239.78641544774084,231.9688746835884,237.60984227520228,4558500
2018-10-12,235.4422607421875,237.05658278483173,232.9482649270257,235.52390677883886,4006300
2018-10-15,236.02268981933594,238.0088195673921,235.1701945084524,235.9138653416269,3583400
2018-10-16,247.19583129882812,247.4134802840276,240.3305335655283,244.5839327699313,6453600
2018-10-17,242.41636657714844,245.77193543790844,240.90184653295165,245.0373425682569,3985100
2018-10-18,241.9720916748047,242.94248975852608,239.16067168328954,242.46182968437202,3132100
2018-10-19,240.60260009765625,243.0331337513083,239.32388460481263,241.79972489587834,3336600
2018-10-22,237.78208923339844,241.99012581134585,235.85037175219628,241.91758538613192,2618100
2018-10-23,240.2035675048828,240.80212992643746,235.0704941208696,235.5420761757487,4081800
2018-10-24,232.4585723876953,240.62979138502655,232.10486512413632,239.4326943372396,5265600
2018-10-25,239.64126586914062,240.49376126462892,229.7831842533954,234.12727959721877,4675600
2018-10-26,234.14541625976562,237.9725677450439,233.09340003839816,237.1563563750629,4830600
2018-10-29,232.63995361328125,237.64610183834594,229.73786557460585,235.5420693285833,3697700
2018-10-30,234.23605346679688,235.51479628369015,230.33634869097483,232.7940739524156,4169200
2018-10-31,237.02032470703125,239.48711467251235,235.99551461332624,236.58499906254906,4230200
2018-11-01,236.639404296875,240.04030795311323,235.57833785503854,238.4441693238903,2771300
2018-11-02,236.7119598388672,241.58204918776238,235.39693275762667,239.9768050342087,2593600
2018-11-05,236.7119598388672,238.51669709343494,235.85946448683683,237.7458201036258,3287000
2018-11-06,239.0064697265625,239.43271746461053,236.4308551073503,236.4308551073503,2582400
2018-11-07,249.06398010253906,250.98661933458501,242.05357603794033,242.05357603794033,5796800
2018-11-08,250.89605712890625,252.12038829082474,249.12760338536336,250.3065725477253,3809100
2018-11-09,250.80526733398438,252.1202943282877,248.6649788395729,251.0864064552567,2904300
2018-11-12,247.02352905273438,251.9299031361677,246.67889969108205,250.3065305688921,3140600
2018-11-13,244.15774536132812,248.1300063820924,243.1782970093882,247.20494261325913,2516900
2018-11-14,240.29425048828125,245.3366549612051,238.8341424122421,244.22117623088664,3511900
2018-11-15,240.2760467529297,241.16482596105035,236.56679883926418,239.42355158995727,3657600
2018-11-16,245.8717041015625,246.4974725544758,240.25797156685385,240.32143406409094,3857800
2018-11-19,241.28277587890625,246.92374272484082,239.58686295480527,246.2073055887145,3670800
2018-11-20,237.15635681152344,241.94482822440042,236.15875283454366,240.89281200109687,3617700
2018-11-21,236.2947998046875,239.99499887055885,236.20413117228966,238.14489933762317,3234300
2018-11-23,237.26516723632812,238.46229193772433,234.23609910518863,235.79598131944377,1159300
2018-11-26,241.3824920654297,243.3232596314802,238.97011490872418,239.9858468322593,3879800
2018-11-27,245.90805053710938,246.04408117515916,240.357779091635,240.8475170652446,3497300
2018-11-28,254.7957305908203,256.1107301560642,247.42256652668542,247.42256652668542,5044300
2018-11-29,256.2467956542969,258.8768504960166,254.2153309767047,254.32415548777138,4177800
2018-11-30,255.98291015625,258.0572937397091,253.89947516139506,257.4658978417586,6143200
2018-12-03,260.5046081542969,260.6865803683933,257.21111654060803,257.47496792152936,4178800
2018-12-04,253.42637634277344,261.96946552046086,251.9343093754173,260.34090548081974,4635500
2018-12-06,251.8797149658203,251.96159414745696,241.32596323549595,248.39514356746045,6694600
2018-12-07,244.9014129638672,251.48842299539163,243.17278824237016,249.06833727927273,3506900
2018-12-10,242.4904327392578,244.73765319330795,236.7586698113855,244.36462964659677,4061300
2018-12-11,243.1182403564453,247.03950005856038,241.7080528589559,245.26536812875972,3102800
2018-12-12,246.2299041748047,249.79632807405133,246.09341106551162,247.42174778943343,3167900
2018-12-13,247.6035614013672,248.66804605354997,245.30175459576682,246.42990453153698,2350400
2018-12-14,241.1166534423828,246.16609083223182,239.92481041000866,245.97501167860003,3360500
2018-12-17,234.7935333251953,239.0514167874228,233.57439717652656,237.49565701565948,5806800
2018-12-18,230.15354919433594,236.54037521720588,225.81377211530898,236.27655155487642,5065500
2018-12-19,227.73345947265625,233.41974502092293,225.25878689144793,229.60765696815966,5468500
2018-12-20,220.57327270507812,226.55068830037973,218.398837868297,226.08669244036648,7311700
2018-12-21,216.84307861328125,225.17690182684214,216.03335212766987,219.0175135948129,12209700
2018-12-24,211.93014526367188,216.4427738313894,211.58441464990315,214.93250689670876,3091000
2018-12-26,221.40121459960938,221.41940071752433,210.90204942905768,211.7117759173211,4159300
2018-12-27,223.7848663330078,223.7848663330078,214.02265692647728,217.53450681201588,4295800
2018-12-28,224.03054809570312,227.26034704489913,222.72951879820383,224.45815786150413,3312700
2018-12-31,226.6507568359375,227.7061346181419,224.66738737725478,225.68636516281424,3123200
2019-01-02,221.528564453125,224.13060895291056,219.6907533045273,222.90236587365544,4063600
2019-01-03,215.48744201660156,221.51944314753257,214.83238093448222,221.51944314753257,4623200
2019-01-04,218.00758361816406,221.5012471951475,217.26155034709683,218.17135582268557,5367600
2019-01-07,218.42613220214844,220.15475730566212,216.74298627304418,218.71726277801528,4133000
2019-01-08,221.3466339111328,222.71134253059589,218.08954155597752,220.47322816889547,3618600
